날짜,지역,유종,가격
2025-04-01,인천광역시,GAS,1628.05
2025-04-01,인천광역시,DSL,1501.87
2025-04-01,전라남도,GAS,1664.88
2025-04-01,전라남도,DSL,1530.85
2025-04-01,전라북도,GAS,1642.85
2025-04-01,전라북도,DSL,1512.32
2025-04-01,제주특별자치도,GAS,1709.51
2025-04-01,제주특별자치도,DSL,1559.51
2025-04-01,충청남도,GAS,1652.03
2025-04-01,충청남도,DSL,1520.00
2025-04-01,충청북도,GAS,1657.80
2025-04-01,충청북도,DSL,1523.92
2025-05-01,강원도,GAS,1659.29
2025-05-01,강원도,DSL,1525.82
2025-05-01,경기도,GAS,1634.49
2025-05-01,경기도,DSL,1498.32
2025-05-01,경상남도,GAS,1623.07
2025-05-01,경상남도,DSL,1488.69
2025-05-01,경상북도,GAS,1624.83
2025-05-01,경상북도,DSL,1484.17
2025-05-01,광주광역시,GAS,1618.22
2025-05-01,광주광역시,DSL,1489.87
2025-05-01,대구광역시,GAS,1596.78
2025-05-01,대구광역시,DSL,1457.75
2025-05-01,대전광역시,GAS,1618.32
2025-05-01,대전광역시,DSL,1499.99
2025-05-01,부산광역시,GAS,1611.86
2025-05-01,부산광역시,DSL,1474.67
2025-05-01,서울특별시,GAS,1709.48
2025-05-01,서울특별시,DSL,1592.06
2025-05-01,세종특별자치시,GAS,1631.47
2025-05-01,세종특별자치시,DSL,1501.89
2025-05-01,울산광역시,DSL,1463.44
2025-05-01,울산광역시,GAS,1599.87
2025-05-01,인천광역시,GAS,1625.09
2025-05-01,인천광역시,DSL,1499.86
2025-05-01,전라남도,GAS,1648.36
2025-05-01,전라남도,DSL,1513.77
2025-05-01,전라북도,GAS,1631.27
2025-05-01,전라북도,DSL,1498.24
2025-05-01,제주특별자치도,GAS,1689.00
2025-05-01,제주특별자치도,DSL,1545.36
2025-05-01,충청남도,GAS,1643.27
2025-05-01,충청남도,DSL,1509.34
2025-05-01,충청북도,GAS,1646.01
2025-05-01,충청북도,DSL,1511.45
2025-06-01,강원도,GAS,1654.59
2025-06-01,강원도,DSL,1519.43
2025-06-01,경기도,GAS,1642.36
2025-06-01,경기도,DSL,1502.53
2025-06-01,경상남도,GAS,1631.26
2025-06-01,경상남도,DSL,1493.62
2025-06-01,경상북도,GAS,1631.16
2025-06-01,경상북도,DSL,1491.00
2025-06-01,광주광역시,GAS,1626.09
2025-06-01,광주광역시,DSL,1494.97
2025-06-01,대구광역시,GAS,1608.11
2025-06-01,대구광역시,DSL,1466.97
2025-06-01,대전광역시,GAS,1628.00
2025-06-01,대전광역시,DSL,1505.56
2025-06-01,부산광역시,GAS,1627.39
2025-06-01,부산광역시,DSL,1489.33
2025-06-01,서울특별시,GAS,1714.58
2025-06-01,서울특별시,DSL,1593.57
2025-06-01,세종특별자치시,GAS,1629.31
2025-06-01,세종특별자치시,DSL,1500.88
2025-06-01,울산광역시,DSL,1483.76
2025-06-01,울산광역시,GAS,1612.66
2025-06-01,인천광역시,GAS,1639.40
2025-06-01,인천광역시,DSL,1506.37
2025-06-01,전라남도,GAS,1644.28
2025-06-01,전라남도,DSL,1507.43
2025-06-01,전라북도,GAS,1633.80
2025-06-01,전라북도,DSL,1497.69
2025-06-01,제주특별자치도,GAS,1697.45
2025-06-01,제주특별자치도,DSL,1557.12
2025-06-01,충청남도,GAS,1647.00
2025-06-01,충청남도,DSL,1509.67
2025-06-01,충청북도,GAS,1650.49
2025-06-01,충청북도,DSL,1513.90
2025-07-01,강원도,GAS,1678.62
2025-07-01,강원도,DSL,1544.06
2025-07-01,경기도,GAS,1671.41
2025-07-01,경기도,DSL,1531.24
2025-07-01,경상남도,GAS,1657.59
2025-07-01,경상남도,DSL,1520.92
2025-07-01,경상북도,GAS,1657.44
2025-07-01,경상북도,DSL,1519.44
2025-07-01,광주광역시,GAS,1652.25
2025-07-01,광주광역시,DSL,1520.13
2025-07-01,대구광역시,GAS,1639.75
2025-07-01,대구광역시,DSL,1498.24
2025-07-01,대전광역시,GAS,1657.53
2025-07-01,대전광역시,DSL,1532.44
2025-07-01,부산광역시,GAS,1657.41
2025-07-01,부산광역시,DSL,1521.55
2025-07-01,서울특별시,GAS,1738.73
2025-07-01,서울특별시,DSL,1618.38
2025-07-01,세종특별자치시,GAS,1650.41
2025-07-01,세종특별자치시,DSL,1523.82
2025-07-01,울산광역시,DSL,1518.80
2025-07-01,울산광역시,GAS,1639.48
2025-07-01,인천광역시,GAS,1669.38
2025-07-01,인천광역시,DSL,1533.68
2025-07-01,전라남도,GAS,1665.52
2025-07-01,전라남도,DSL,1529.76
2025-07-01,전라북도,GAS,1653.38
2025-07-01,전라북도,DSL,1517.23
2025-07-01,제주특별자치도,GAS,1719.25
2025-07-01,제주특별자치도,DSL,1583.80
2025-07-01,충청남도,GAS,1671.34
