연도,월,지역,연료,차종,등록대수
2020,2,울산광역시,전기,특수,0
2020,2,울산광역시,하이브리드,승용,76
2020,2,울산광역시,하이브리드,승합,0
2020,2,울산광역시,하이브리드,화물,0
2020,2,울산광역시,하이브리드,특수,0
2020,2,울산광역시,휘발유,승용,158
2020,2,울산광역시,휘발유,승합,0
2020,2,울산광역시,휘발유,화물,7
2020,2,울산광역시,휘발유,특수,0
2020,2,인천광역시,경유,승용,3442
2020,2,인천광역시,경유,승합,142
2020,2,인천광역시,경유,화물,1019
2020,2,인천광역시,경유,특수,41
2020,2,인천광역시,수소,승용,46
2020,2,인천광역시,수소,승합,0
2020,2,인천광역시,수소,화물,0
2020,2,인천광역시,수소,특수,0
2020,2,인천광역시,전기,승용,86
2020,2,인천광역시,전기,승합,0
2020,2,인천광역시,전기,화물,32
2020,2,인천광역시,전기,특수,0
2020,2,인천광역시,하이브리드,승용,604
2020,2,인천광역시,하이브리드,승합,0
2020,2,인천광역시,하이브리드,화물,0
2020,2,인천광역시,하이브리드,특수,0
2020,2,인천광역시,휘발유,승용,3024
2020,2,인천광역시,휘발유,승합,0
2020,2,인천광역시,휘발유,화물,38
2020,2,인천광역시,휘발유,특수,0
2020,2,전라남도,경유,승용,774
2020,2,전라남도,경유,승합,143
2020,2,전라남도,경유,화물,614
2020,2,전라남도,경유,특수,25
2020,2,전라남도,수소,승용,0
2020,2,전라남도,수소,승합,0
2020,2,전라남도,수소,화물,0
2020,2,전라남도,수소,특수,0
2020,2,전라남도,전기,승용,23
2020,2,전라남도,전기,승합,0
2020,2,전라남도,전기,화물,1
2020,2,전라남도,전기,특수,0
2020,2,전라남도,하이브리드,승용,278
2020,2,전라남도,하이브리드,승합,0
2020,2,전라남도,하이브리드,화물,0
2020,2,전라남도,하이브리드,특수,0
2020,2,전라남도,휘발유,승용,217
2020,2,전라남도,휘발유,승합,3
2020,2,전라남도,휘발유,화물,18
2020,2,전라남도,휘발유,특수,0
2020,2,전라북도,경유,승용,478
2020,2,전라북도,경유,승합,73
2020,2,전라북도,경유,화물,652
2020,2,전라북도,경유,특수,29
2020,2,전라북도,수소,승용,1
2020,2,전라북도,수소,승합,0
2020,2,전라북도,수소,화물,0
2020,2,전라북도,수소,특수,0
2020,2,전라북도,전기,승용,14
2020,2,전라북도,전기,승합,0
2020,2,전라북도,전기,화물,31
2020,2,전라북도,전기,특수,0
2020,2,전라북도,하이브리드,승용,97
2020,2,전라북도,하이브리드,승합,0
2020,2,전라북도,하이브리드,화물,0
2020,2,전라북도,하이브리드,특수,0
2020,2,전라북도,휘발유,승용,276
2020,2,전라북도,휘발유,승합,0
2020,2,전라북도,휘발유,화물,24
2020,2,전라북도,휘발유,특수,0
2020,2,제주특별자치도,경유,승용,1650
2020,2,제주특별자치도,경유,승합,81
2020,2,제주특별자치도,경유,화물,555
2020,2,제주특별자치도,경유,특수,11
2020,2,제주특별자치도,수소,승용,0
2020,2,제주특별자치도,수소,승합,0
2020,2,제주특별자치도,수소,화물,0
2020,2,제주특별자치도,수소,특수,0
2020,2,제주특별자치도,전기,승용,114
2020,2,제주특별자치도,전기,승합,0
2020,2,제주특별자치도,전기,화물,309
2020,2,제주특별자치도,전기,특수,0
2020,2,제주특별자치도,하이브리드,승용,243
2020,2,제주특별자치도,하이브리드,승합,0
2020,2,제주특별자치도,하이브리드,화물,0
2020,2,제주특별자치도,하이브리드,특수,0
2020,2,제주특별자치도,휘발유,승용,210
2020,2,제주특별자치도,휘발유,승합,0
2020,2,제주특별자치도,휘발유,화물,16
2020,2,제주특별자치도,휘발유,특수,0
2020,2,충청남도,경유,승용,552
2020,2,충청남도,경유,승합,88
2020,2,충청남도,경유,화물,580
2020,2,충청남도,경유,특수,47
2020,2,충청남도,수소,승용,19
2020,2,충청남도,수소,승합,0
2020,2,충청남도,수소,화물,0
2020,2,충청남도,수소,특수,0
2020,2,충청남도,전기,승용,55
2020,2,충청남도,전기,승합,0
2020,2,충청남도,전기,화물,20
2020,2,충청남도,전기,특수,0
2020,2,충청남도,하이브리드,승용,103
2020,2,충청남도,하이브리드,승합,0
2020,2,충청남도,하이브리드,화물,0
2020,2,충청남도,하이브리드,특수,0
2020,2,충청남도,휘발유,승용,328
2020,2,충청남도,휘발유,승합,0
2020,2,충청남도,휘발유,화물,21
2020,2,충청남도,휘발유,특수,0
2020,2,충청북도,전기,승합,0
2020,2,충청북도,전기,화물,8
2020,2,충청북도,전기,특수,0
2020,2,충청북도,하이브리드,승용,90
2020,2,충청북도,하이브리드,승합,0
2020,2,충청북도,하이브리드,화물,0
2020,2,충청북도,하이브리드,특수,0
2020,2,충청북도,휘발유,승용,270
2020,2,충청북도,휘발유,승합,0
2020,2,충청북도,휘발유,화물,29
2020,2,충청북도,휘발유,특수,0
2020,2,충청북도,경유,승용,425
2020,2,충청북도,경유,승합,54
2020,2,충청북도,경유,화물,561
2020,2,충청북도,경유,특수,22
2020,2,충청북도,수소,승용,0
2020,2,충청북도,수소,승합,0
2020,2,충청북도,수소,화물,0
2020,2,충청북도,수소,특수,0
2020,2,충청북도,전기,승용,10
2020,3,강원도,경유,승용,638
2020,3,강원도,경유,승합,67
2020,3,강원도,경유,화물,698
2020,3,강원도,경유,특수,18
2020,3,강원도,수소,승용,106
2020,3,강원도,수소,승합,0
2020,3,강원도,수소,화물,0
2020,3,강원도,수소,특수,0
2020,3,강원도,전기,승용,116
2020,3,강원도,전기,승합,0
2020,3,강원도,전기,화물,21
2020,3,강원도,전기,특수,0
2020,3,강원도,하이브리드,승용,186
2020,3,강원도,하이브리드,승합,0
2020,3,강원도,하이브리드,화물,0
2020,3,강원도,하이브리드,특수,0
2020,3,강원도,휘발유,승용,499
2020,3,강원도,휘발유,승합,0
2020,3,강원도,휘발유,화물,16
2020,3,강원도,휘발유,특수,0
2020,3,경기도,경유,승용,4733
2020,3,경기도,경유,승합,412
2020,3,경기도,경유,화물,3931
2020,3,경기도,경유,특수,285
2020,3,경기도,수소,승용,185
2020,3,경기도,수소,승합,0
2020,3,경기도,수소,화물,0
2020,3,경기도,수소,특수,0
