year,sido,sigungu,vehicle_type,manufacturer,model_name,national_subsidy,local_subsidy,total_subsidy
2026,부산,부산광역시,경·소형,기아,레이 EV 2WD 14인치 4인승 승용,457.0,137.0,594.0
2026,부산,부산광역시,일반승용,메르세데스벤츠코리아,EQA 250(Facelift),190.0,57.0,247.0
2026,부산,부산광역시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift),154.0,46.0,200.0
2026,부산,부산광역시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift)(CY25/2),162.0,48.0,210.0
2026,부산,부산광역시,일반승용,볼보자동차코리아,볼보 EX30 Single Motor ER,247.0,74.0,321.0
2026,부산,부산광역시,일반승용,볼보자동차코리아,볼보 EX30CC Twin Motor Perf,222.0,66.0,288.0
2026,부산,부산광역시,일반승용,비와이디코리아,BYD ATTO 3,126.0,37.0,163.0
2026,부산,부산광역시,일반승용,비와이디코리아,BYD DOLPHIN,109.0,32.0,141.0
2026,부산,부산광역시,일반승용,비와이디코리아,BYD DOLPHIN Active,132.0,39.0,171.0
2026,부산,부산광역시,일반승용,비와이디코리아,BYD SEAL,169.0,50.0,219.0
2026,부산,부산광역시,일반승용,비와이디코리아,BYD SEAL Dynamic AWD,151.0,45.0,196.0
2026,부산,부산광역시,일반승용,비와이디코리아,BYD SEALION 7,152.0,45.0,197.0
2026,부산,부산광역시,일반승용,케이지모빌리티,토레스 EVX 18인치,354.0,106.0,460.0
2026,부산,부산광역시,일반승용,케이지모빌리티,토레스 EVX 18인치(2026),361.0,108.0,469.0
2026,부산,부산광역시,일반승용,케이지모빌리티,토레스 EVX 20인치,344.0,103.0,447.0
2026,부산,부산광역시,일반승용,케이지모빌리티,토레스 EVX 20인치(2026),354.0,106.0,460.0
2026,부산,부산광역시,일반승용,케이지모빌리티,토레스 EVX 2WD 18인치,327.0,98.0,425.0
2026,부산,부산광역시,일반승용,케이지모빌리티,토레스 EVX 2WD 20인치,312.0,93.0,405.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model 3 Performance,200.0,60.0,260.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model 3 Premium Long Range RWD,420.0,126.0,546.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model 3 RWD,168.0,50.0,218.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model 3 RWD(2025),168.0,50.0,218.0
